event,n,base_rate,PR_AUC,ROC_AUC,lift
bhubaneswar__dana,47990,0.028672640133361117,0.11039901169168122,0.7111607664031466,3.8503259964271668
bhubaneswar__fani,47990,0.04561366951448218,0.14946166052083326,0.7280008758169852,3.276685741614796
bhubaneswar__titli,47990,0.035528235048968536,0.13549440433136126,0.739789991690524,3.8137105359894585
bhubaneswar__yaas,47990,0.2667847468222546,0.4417487523514893,0.725295434013028,1.6558246212097143
chennai__mandous,200883,0.1132300891563746,0.1714200733845937,0.5705046124631947,1.51390919729699
chennai__nivar,200883,0.07554148434660972,0.13011957929487453,0.5760779493725408,1.7224916934097054
chennai__vardah,200883,0.0356426377543147,0.08890305130845226,0.6094691544977096,2.494289337429583
kolkata__amphan,143160,0.06770746018440905,0.11185645628075325,0.5338613978823895,1.652055120308742
kolkata__bulbul,143160,0.07562866722548198,0.1468254162156639,0.625845802634124,1.9413989642037908
kolkata__remal,143160,0.12497205923442302,0.2114416714038696,0.6255664515010927,1.6919115576646344
kolkata__yaas,143160,0.03283039955294775,0.07752269586724081,0.5820777227311982,2.361308327734935
puri__dana,6772,0.12285883047844064,0.19670851119073413,0.6292722902097901,1.6010937954130426
puri__fani,6772,0.10292380389840519,0.24986747482427002,0.6843668632764759,2.427693743916724
puri__titli,6772,0.08682811577082103,0.17825612912892877,0.6455286189508145,2.0529770518046013
puri__yaas,6772,0.31896042528056706,0.49380408863068453,0.6750752866917221,1.5481672630587942
